SDCBP ANKRD33
SDCBP IGFBP6
SDCBP MOBP
SDCBP HEXIM2
SDCBP SLC50A1
SDCBP LDB2
SDCBP ZNF768
SDCBP UBB
SDCBP RRM2
SDCBP C2CD2L
SDCBP CCDC106
SDCBP EXOSC4
SDCBP SSC5D
SDCBP SEPTIN1
SDCBP FAM9A
SDCBP TNFAIP8L3
SDCBP EMILIN3
SDCBP TRARG1
SDCBP KRT14
SDCBP TMEM17
SDCBP CYHR1
SDCBP ZSCAN23
SDCBP TMCO2
SDCBP SPANXN3
SDCBP ANKRD36B
SDCBP RPS26
SDCBP ZNF485
SDCBP DDX39B
SDCBP SFT2D1
SDCBP SYS1
SDCBP TSN
SDCBP RTL8B
SDCBP GRXCR1
SDCBP KRTAP1-5
SDCBP KRTAP1-3
SDCBP GET4
SDCBP CT45A1
SDCBP CT45A10
SDCBP CRYAA2
SDCBP PSMB3
UBE2D2 SIAH2
UBE2D2 MAP3K1
UBE2D2 ITCH
UBE2D2 MDM2
UBE2D2 UBE3A
UBE2D2 RNF4
UBE2D2 CTNNB1
UBE2D2 RBX1
UBE2D2 RNF111
UBE2D2 RFWD3
UBE2D2 TRIM28
UBE2D2 SIAH1
UBE2D2 UBC
UBE2D2 RNF11
UBE2D2 HSPA8
UBE2D2 PRKN
UBE2D2 SYVN1
UBE2D2 MAPT
UBE2D2 MUL1
UBE2D2 BRCA1
UBE2D2 DTX1
UBE2D2 SKP2
UBE2D2 TRIM25
UBE2D2 NEDD4
UBE2D2 TRAF6
UBE2D2 ARRDC3
UBE2D2 NFKBIA
UBE2D2 CBL
UBE2D2 CBLB
UBE2D2 CDKN1B
UBE2D2 BTRC
UBE2D2 WWP2
UBE2D2 BARD1
UBE2D2 RNF25
UBE2D2 RCHY1
UBE2D2 RNF7
UBE2D2 RING1
UBE2D2 DTX3L
UBE2D2 RNF2
UBE2D2 FBXO7
UBE2D2 STUB1
UBE2D2 PJA2
UBE2D2 PJA1
UBE2D2 BIRC3
UBE2D2 UBA6
UBE2D2 OTUB1
UBE2D2 AMFR
UBE2D2 CNOT4
