SGCD DTNA
MDM2 UBE2I
MDM2 YWHAQ
MDM2 XRCC6
MDM2 MRE11
MDM2 NGFR
MDM2 RELA
MDM2 HNRNPA1
MDM2 AR
MDM2 AATF
MDM2 SIVA1
MDM2 FKBP1A
MDM2 TCAP
MDM2 E2F1
MDM2 ABL1
MDM2 ATM
MDM2 SRC
MDM2 TP53
MDM2 WWOX
MDM2 PSMD2
MDM2 CDH1
MDM2 TRIM28
MDM2 RAD23A
MDM2 XPC
MDM2 SUV39H1
MDM2 CTBP2
MDM2 TAF1
MDM2 UBTF
MDM2 PAK6
MDM2 RCHY1
MDM2 TBP
MDM2 TFIP11
MDM2 PDE4D
MDM2 CDKN2A
MDM2 RPL5
MDM2 DLG4
MDM2 KAT5
MDM2 HSPA8
MDM2 USP7
MDM2 PSMD4
MDM2 PSMC5
MDM2 NEDD4
MDM2 UBE2D2
MDM2 TP63
MDM2 RYBP
MDM2 CUL1
MDM2 UBE2L3
MDM2 GSK3B
MDM2 CUL4A
MDM2 RASSF1
MDM2 RARA
MDM2 ATF4
MDM2 PER2
MDM2 PPP1CA
MDM2 SFN
MDM2 HNRNPK
MDM2 USP2
MDM2 ARRB1
MDM2 XIAP
MDM2 UBE2D1
MDM2 ARIH2
MDM2 TRIM27
MDM2 PSME3
MDM2 BANP
MDM2 UBC
MDM2 HIF1A
MDM2 GNL3L
MDM2 PDLIM7
MDM2 RPS14
MDM2 RABL6
MDM2 RPL23
MDM2 UBE2D3
MDM2 CSNK1D
MDM2 BTRC
MDM2 PSMD10
MDM2 S100B
MDM2 PSMC3
MDM2 HDAC1
MDM2 RANBP2
MDM2 UBE2M
MDM2 CDK5RAP3
MDM2 VCP
MDM2 NPM1
MDM2 TPT1
MDM2 PSMA7
MDM2 KPNA6
MDM2 DDX24
MDM2 NME2
MDM2 CSNK2A1
MDM2 JAK1
MDM2 CTBP1
MDM2 RAD50
MDM2 FHL2
MDM2 NBN
MDM2 CHEK2
MDM2 MDC1
MDM2 H3-4
MDM2 HSP90AA1
MDM2 TP73
MDM2 RPL11
MDM2 NUMB
MDM2 UBE2A
MDM2 EID1
MDM2 MDM4
MDM2 KAT2B
MDM2 MDM2
MDM2 CCNG1
MDM2 MTBP
MDM2 FKBP3
MDM2 RRM2B
MDM2 RPL26
MDM2 FOXO4
MDM2 DHFR
MDM2 GNL3
MDM2 COPS5
MDM2 RBBP6
MDM2 NCL
MDM2 PYHIN1
MDM2 ATF3
MDM2 H2BC21
MDM2 YY1
MDM2 RPS27L
MDM2 RPS27
MDM2 RPS27A
MDM2 RPS7
MDM2 G3BP2
MDM2 APEX1
MDM2 UBE4B
MDM2 BAIAP2L1
MDM2 RFWD3
MDM2 PA2G4
MDM2 DYRK2
MDM2 RPS3
MDM2 TRIM13
MDM2 GORAB
MDM2 FOXO1
MDM2 FOXO3
MDM2 SMURF1
MDM2 CSNK1A1
MDM2 SENP3
MDM2 NOTCH1
MDM2 SNAI1
MDM2 TTF1
MDM2 NR0B2
MDM2 PIM1
MDM2 GRK2
MDM2 RASSF5
MDM2 IRF2
MDM2 CDKN2AIP
MDM2 LATS2
MDM2 DDB1
MDM2 CUL4B
MDM2 HIPK2
MDM2 DHRS2
MDM2 CASP3
MDM2 RPS20
MDM2 PLK1
MDM2 DAPK3
MDM2 PBX1
MDM2 UBE2E2
MDM2 UBE2E3
MDM2 IRF1
MDM2 UBE2K
MDM2 RASSF6
MDM2 HSP90B1
MDM2 PKM
MDM2 AURKA
MDM2 NOC2L
MDM2 PGAM2
MDM2 DNAJB1
MDM2 SNAI2
MDM2 RBM38
MDM2 DHX9
MDM2 GTF2I
MDM2 HNRNPU
MDM2 TOP1
MDM2 SIRT6
MDM2 TSC22D3
MDM2 RPS6
MDM2 MAGEA2
MDM2 ZNF420
MDM2 PPIB
MDM2 FBXO31
MDM2 NAT10
MDM2 RLIM
MDM2 IER3
MDM2 SUZ12
MDM2 RPL4
MDM2 RPL15
MDM2 PBXIP1
MDM2 SMG7
MDM2 RSL1D1
MDM2 SIRT1
MDM2 PHLDB3
MDM2 VEGFA
MDM2 TP53I3
MDM2 HUWE1
MDM2 XBP1
MDM2 RPL22
MDM2 BTK
MDM2 MARCHF7
MDM2 HMGA2
MDM2 MYL6B
MDM2 MTDH
MDM2 GYS2
MDM2 WRN
MDM2 FBXO22
MDM2 GNAS
MDM2 GAPDH
MDM2 RASGRF1
MDM2 NDUFA12
MDM2 UBQLN4
MDM2 MARS1
MDM2 SUMO1
MDM2 PRPF6
MDM2 NEFM
MDM2 VIM
MDM2 EEF1G
MDM2 MRPS33
MDM2 MAP4K4
MDM2 TUBB
MDM2 UBE2G2
MDM2 NR3C1
MDM2 UBB
MDM2 JUN
MDM2 SREK1
MDM2 CDK2
MDM2 NAP1L1
MDM2 GTF2E1
MDM2 RPL27A
MDM2 ZNF326
MDM2 CCAR1
MDM2 APP
MDM2 GTF2E2
MDM2 KIF5A
MDM2 ACTB
MDM2 UBA52
MDM2 FEZ1
MDM2 ARHGEF6
MDM2 S100A1
MDM2 PTK2
MDM2 NSD2
MDM2 MAPKAPK2
MDM2 SMC3
MDM2 CHRM3
MDM2 S100A4
MDM2 UBE2U
MDM2 PTPRD
MDM2 ZNHIT6
MDM2 TBCA
MDM2 OGA
MDM2 BHLHE40
MDM2 GSTP1
MDM2 ZNF766
MDM2 POLE
MDM2 TUBB2A
MDM2 S100A6
MDM2 ZBTB1
MDM2 MEA1
MDM2 PRRC2C
MDM2 KRT1
MDM2 DAAM2
MDM2 CLU
MDM2 RYR2
MDM2 CWC25
MDM2 EZR
MDM2 ZNF133
MDM2 RCN2
MDM2 CA11
MDM2 ATR
MDM2 KRT10
MDM2 GSN
MDM2 TMEM87A
MDM2 STX1A
MDM2 SEC63
MDM2 PIAS1
MDM2 SRP19
MDM2 PIM3
MDM2 TSNAX
MDM2 CSNK1E
MDM2 SET
MDM2 KRT8
MDM2 JUND
MDM2 MYCN
MDM2 CLSTN1
MDM2 NUDT9
MDM2 WDR45
MDM2 PPM1D
MDM2 EPS15
MDM2 NUCKS1
MDM2 MAP2
MDM2 S100A2
MDM2 PFDN6
MDM2 FAM171A1
MDM2 BAIAP2
MDM2 ERICH3
MDM2 KRT2
MDM2 KRT9
MDM2 PIM2
MDM2 AKT3
MDM2 UBE2Z
MDM2 DCD
MDM2 GABRA2
MDM2 AKT2
MDM2 TUBA1C
MDM2 KRT14
MDM2 PJA1
MDM2 JMY
IQGAP2 MAP3K3
IQGAP2 RELA
IQGAP2 MYC
IQGAP2 NFKB1
IQGAP2 RAC1
IQGAP2 NFKB2
IQGAP2 LRPPRC
IQGAP2 REL
IQGAP2 CHUK
IQGAP2 POLR2H
IQGAP2 KPNA2
IQGAP2 IKBKB
IQGAP2 SKP1
IQGAP2 CUL1
IQGAP2 CDC42
IQGAP2 POLR1G
IQGAP2 MCC
IQGAP2 MTIF2
IQGAP2 IKBKG
IQGAP2 NFKBIB
IQGAP2 ACTR2
IQGAP2 POLR1A
IQGAP2 POLR1D
IQGAP2 POLR1E
IQGAP2 AKAP8L
IQGAP2 CALM1
IQGAP2 POLR2L
IQGAP2 RASAL2
IQGAP2 CAMKK2
IQGAP2 PDCD2
IQGAP2 POLR1B
IQGAP2 UBAC1
IQGAP2 RHOG
IQGAP2 IQGAP2
AGR2 EEF1A1
AGR2 RPL7
AGR2 RPL35
AGR2 RPL3
AGR2 RPL13A
AGR2 RPS20
AGR2 RPL6
AGR2 IQGAP1
AGR2 RPS7
AGR2 RPL24
AGR2 RPS14
AGR2 RPS25
AGR2 RPS11
AGR2 RPL10A
AGR2 RPL10
AGR2 RPL17
AGR2 RPL23
AGR2 RPS27
AGR2 RPS2
AGR2 RPL29
EEF1A1 ARRB2
EEF1A1 MAPK14
EEF1A1 SMAD4
EEF1A1 RPL11
EEF1A1 NR4A1
EEF1A1 NPM1
EEF1A1 TGIF1
EEF1A1 PIAS2
EEF1A1 SUMO2
