PCSK5 CCDC33
PCSK5 TRAF4
PCSK5 POU4F2
PCSK5 HOXA1
PCSK5 KRTAP5-9
PCSK5 OTX1
PCSK5 GLRX3
PCSK5 TRIP13
PCSK5 MDFI
PCSK5 MEOX2
PCSK5 FARS2
PCSK5 STK16
PCSK5 SPRY1
PCSK5 FRS3
PCSK5 PTPRM
PCSK5 NOTCH2NLA
PCSK5 ADAMTSL4
PCSK5 KRTAP10-7
PCSK5 NUFIP2
PCSK5 KRTAP10-8
PCSK5 USP54
PCSK5 NR1D2
PCSK5 CYSRT1
PCSK5 SHFL
PCSK5 KRTAP10-9
PCSK5 HOXB9
PCSK5 TRIM42
PCSK5 INCA1
PCSK5 PLSCR4
PCSK5 CREB5
PCSK5 FAM86C1P
PCSK5 KRTAP4-12
PCSK5 SMCP
PCSK5 KRTAP3-2
PCSK5 KRTAP12-2
PCSK5 DOCK2
PCSK5 TEKT4
PCSK5 C22orf39
PCSK5 LCE3C
PCSK5 KRTAP10-3
PCSK5 REN
PCSK5 PMCH
PCSK5 AMH
PCSK5 GUCD1
PCSK5 VGLL3
PCSK5 ZNF655
PCSK5 KRTAP1-1
PCSK5 LCE1F
PCSK5 SSC4D
PCSK5 KRTAP11-1
PCSK5 KRTAP19-2
PCSK5 NBPF19
PCSK5 ZNF837
PCSK5 LCE1D
PCSK5 KRTAP13-3
PCSK5 KRTAP3-1
PCSK5 LCE2C
PCSK5 C17orf50
PCSK5 NR4A3
PCSK5 PCSK6
PCSK5 ZNF547
PCSK5 LCE3D
EEF1A1 MME
EEF1A1 EFTUD2
GAPDH ARL15
GAPDH MME
GAPDH APP
GAPDH DDX5
ARL15 TFG
ARL15 RPL8
ARL15 RPL9
ARL15 CRMP1
ARL15 UNC119
ARL15 MEOX2
ARL15 GRIPAP1
ARL15 PDE6D
ARL15 TUBB2B
ARL15 PTN
ARL15 B4GALT3
ARL15 TUBB2A
ARL15 UBR1
ARL15 CCDC90B
ARL15 TUBB4B
ARL15 FUNDC2
JAK1 PTK2B
ESR1 PDLIM1
ESR1 APOE
ESR1 RBCK1
ESR1 HDAC5
ESR1 HEXIM1
ESR1 MVP
ESR1 DDX5
ESR1 MED13
PDLIM1 ACTN1
PDLIM1 VIM
PDLIM1 PITX2
PDLIM1 ACTN4
PDLIM1 RLIM
PDLIM1 MAPK6
PDLIM1 RPS6KA5
PDLIM1 GFAP
PDLIM1 ACTN2
PDLIM1 STK35
PDLIM1 EIF1B
PDLIM1 AGK
PDLIM1 PDLIM1
PDLIM1 SUPT4H1
PDLIM1 PGS1
ERBB2 CLNK
ERBB2 PTK2B
ERBB2 NCK2
ERBB2 BLNK
ERBB2 MAPK8IP1
PTK2 AFF3
PTK2 PTK2B
PTK2 NCK2
PTK2 ITGA2B
PTK2 CLTC
AFF3 CDK9
AFF3 MLLT3
AFF3 WNK1
RAC1 SH3RF3
RAC1 DOCK8
RAC1 ITPR2
