EEF1A1 SDHAF2
EEF1A1 MLLT3
EEF1A1 SLC25A3
EEF1A1 SYNCRIP
EEF1A1 PKN2
EEF1A1 DIMT1
EEF1A1 RPL8
EEF1A1 RPL37A
EEF1A1 PASK
EEF1A1 BBS2
EEF1A1 MNAT1
EEF1A1 LRRC59
EEF1A1 NCL
EEF1A1 DDX20
EEF1A1 ITGB1BP1
EEF1A1 SF3B1
EEF1A1 LAS1L
EEF1A1 ANKRD24
EEF1A1 LAMTOR1
EEF1A1 RPL35
EEF1A1 RPL9
EEF1A1 CUL5
EEF1A1 DDX18
EEF1A1 SCYL2
EEF1A1 NAP1L1
EEF1A1 ATP1A3
EEF1A1 SRSF10
EEF1A1 COX17
EEF1A1 RPL39
EEF1A1 GNL3
EEF1A1 EMG1
EEF1A1 STMN2
EEF1A1 SLC7A9
EEF1A1 SPHK1
EEF1A1 RUVBL1
EEF1A1 APLP1
EEF1A1 DUSP7
EEF1A1 MED29
EEF1A1 UBE2M
EEF1A1 UBC
EEF1A1 KARS1
EEF1A1 HRNR
EEF1A1 CCL18
EEF1A1 FXR1
EEF1A1 MRPL42
EEF1A1 GEMIN2
EEF1A1 AGO3
EEF1A1 OXA1L
EEF1A1 NEU1
EEF1A1 PABPC3
EEF1A1 VARS2
EEF1A1 ZCCHC10
EEF1A1 CUL1
RPS8 ARRB2
RPS8 MAP3K1
RPS8 RPL11
RPS8 TP53
RPS8 NPM1
RPS8 PIAS2
RPS8 H2AX
RPS8 PIAS1
RPS8 MYC
RPS8 EIF3K
RPS8 MCM4
RPS8 MCM5
RPS8 GAPDH
RPS8 ESR1
RPS8 NFKB1
RPS8 PELP1
RPS8 GNL3
RPS8 RPS9
RPS8 NFKB2
RPS8 HSPA8
RPS8 NAE1
RPS8 HSPD1
RPS8 YWHAG
RPS8 UBE2M
RPS8 LRPPRC
RPS8 CUL2
RPS8 LUC7L2
RPS8 HNRNPU
RPS8 DDX5
RPS8 PCNA
RPS8 NAP1L1
RPS8 H2BC21
RPS8 RPS6KB2
RPS8 DDB1
RPS8 SENP3
RPS8 ILF2
RPS8 TRIM25
RPS8 ARRB1
RPS8 NOLC1
RPS8 TCOF1
RPS8 FBL
RPS8 NCL
RPS8 GRB2
RPS8 ANXA2
RPS8 HNRNPC
RPS8 ACTB
RPS8 MRPS22
RPS8 RUVBL2
RPS8 RPL31
RPS8 DHX9
RPS8 TUBB
RPS8 HNRNPA2B1
RPS8 PABPC1
RPS8 ENO1
RPS8 TARS1
RPS8 EIF3B
RPS8 SNRNP200
RPS8 YBX1
RPS8 RACK1
RPS8 HNRNPD
RPS8 RPSA
RPS8 HSP90AA1
RPS8 EBNA1BP2
RPS8 NAT10
RPS8 RPL21
RPS8 RPL28
RPS8 RPL3
RPS8 RPL34
RPS8 RPS27
RPS8 RPS7
RPS8 RPS13
RPS8 TOP1
RPS8 VIM
RPS8 NDRG1
RPS8 HSP90AB1
RPS8 RPLP2
RPS8 HNRNPA1
RPS8 HNRNPM
RPS8 ELAVL1
RPS8 FMR1
RPS8 DNMT3A
RPS8 PHB
RPS8 CUL4A
RPS8 PSMD2
RPS8 TUBA1A
RPS8 RPS4X
RPS8 SSRP1
RPS8 SF3B1
RPS8 STAU1
RPS8 ILF3
RPS8 MATR3
RPS8 ERCC4
RPS8 CUL1
RPS8 YWHAH
RPS8 PRMT5
RPS8 MCF2L
RPS8 PHB2
RPS8 CUL3
RPS8 LARP7
RPS8 KPNB1
RPS8 EIF3C
RPS8 EIF3E
RPS8 EIF3D
RPS8 EIF3I
RPS8 EIF3M
RPS8 ATP5F1C
RPS8 RBM10
RPS8 HNRNPH1
RPS8 RPN1
RPS8 ATP5F1A
RPS8 H1-10
RPS8 NOP56
RPS8 RPS11
RPS8 RPL5
RPS8 RPL30
RPS8 RPL24
RPS8 RPL7A
RPS8 EEF2
RPS8 RPLP1
RPS8 RPS26
RPS8 RPS14
RPS8 RPL9
RPS8 RPL23
RPS8 RPL23A
RPS8 RPS3A
RPS8 RPL18A
RPS8 RPL36
RPS8 RPL7
RPS8 RPL15
RPS8 RPS10
RPS8 RPL6
RPS8 RPS3
RPS8 RPS21
RPS8 RPS19
RPS8 RPS6
RPS8 RPL10
