HSP90AB1 DDX47
HSP90AB1 RPS19
HSP90AB1 RPL7A
HSP90AB1 NANS
HSP90AB1 SVIL
HSP90AB1 TAB2
HSP90AB1 RSL1D1
HSP90AB1 MAP3K8
HSP90AB1 EIF3H
HSP90AB1 RPS3
HSP90AB1 RPL15
HSP90AB1 MPP3
HSP90AB1 RPL38
HSP90AB1 TCP1
ARRB2 EFTUD2
ARRB2 TMOD3
ARRB2 LEO1
MAP3K1 GLUD1
GLUD1 TRAF6
GLUD1 DYNLL1
GLUD1 MAP3K14
GLUD1 GOT2
GLUD1 GLUD1
MAPK9 MACF1
MAPK9 MEOX1
MAPK9 MAPK8IP1
MACF1 MAP3K5
MACF1 DAXX
MACF1 JUN
MACF1 CDC5L
MACF1 YWHAG
MACF1 MAPRE1
MACF1 APC
MACF1 CDK2
MACF1 OPTN
MACF1 CDC42
MACF1 SKIL
MACF1 ATF7IP
MACF1 DTNBP1
MACF1 MPG
MACF1 ACTA1
MACF1 ESRRA
MACF1 PLEKHA5
MACF1 PLCB1
MACF1 DISC1
MACF1 EXOC1
MACF1 NRXN2
MACF1 SAP18
MACF1 NRCAM
MACF1 TANGO6
MACF1 PLXND1
MACF1 CNTNAP2
MACF1 GOLGA4
MACF1 CNTNAP4
MACF1 NRXN1
MAP3K3 TMOD3
MAP3K7 ENO1
MAP3K7 HDAC5
MAP3K7 MAPK8IP1
ENO1 RPL11
ENO1 HDAC1
ENO1 HDAC2
ENO1 NPM1
ENO1 SUMO2
ENO1 PKM
ENO1 EIF3K
ENO1 GAPDH
ENO1 SRC
ENO1 RPS9
ENO1 HSPA8
ENO1 HSPD1
ENO1 LRPPRC
ENO1 BRCA1
ENO1 TSG101
ENO1 DDX5
ENO1 PCNA
ENO1 PCK1
ENO1 YWHAZ
ENO1 TRIM25
ENO1 NCL
ENO1 GRB2
ENO1 FYN
ENO1 ANXA2
ENO1 FANCA
ENO1 TUBB
ENO1 HNRNPA2B1
ENO1 YAP1
ENO1 ISG15
ENO1 LIG4
ENO1 SOD1
ENO1 CAT
ENO1 TRAPPC2
ENO1 PPIA
ENO1 PARK7
ENO1 TPI1
ENO1 UCHL3
ENO1 IVNS1ABP
ENO1 PGK1
ENO1 ENO3
ENO1 ATP5PF
ENO1 HINT1
ENO1 TKT
ENO1 LARP7
ENO1 RACK1
ENO1 RPL22
ENO1 CD4
ENO1 RPS24
ENO1 LCK
ENO1 RPL18
ENO1 VIM
ENO1 ACHE
ENO1 HNRNPA1
ENO1 EEF1B2
ENO1 PHB
ENO1 RPS13
ENO1 ANXA1
ENO1 VDAC3
ENO1 EIF4A2
ENO1 RPS12
ENO1 FARSB
ENO1 RPS7
ENO1 TUBA1A
ENO1 RPS18
ENO1 EIF3B
ENO1 VDAC2
ENO1 SUMO4
ENO1 RPL7A
ENO1 RPS4X
ENO1 HNRNPH1
ENO1 HSP90AA1
ENO1 KPNB1
ENO1 EIF3E
ENO1 MYL6
ENO1 PGAM2
ENO1 RAN
ENO1 RPS3A
ENO1 ANXA6
ENO1 DHRS2
ENO1 RPLP1
ENO1 RPL7
ENO1 EIF3M
ENO1 EIF3I
ENO1 RPLP0
ENO1 GNAI2
ENO1 HSD3B2
ENO1 PKLR
ENO1 MYOC
ENO1 RPS19
ENO1 MAPK13
ENO1 EIF3C
ENO1 PGAM1
ENO1 CXCL2
ENO1 TMEM54
ENO1 RPSA
ENO1 PLG
ENO1 RPS8
ENO1 H2BC6
ENO1 HSD3B1
ENO1 MME
ENO1 PXN
ENO1 BPGM
ENO1 RIPK2
ENO1 HNRNPD
ENO1 PCK2
ENO1 EIF3D
ENO1 RPS10
ENO1 TNPO1
ENO1 ATP5F1A
ENO1 YBX1
ENO1 AGTPBP1
ENO1 DDX3X
ENO1 VDAC1
ENO1 SSRP1
LMO2 UBASH3B
LMO2 HDAC5
LMO2 DBF4B
UBASH3B KAT5
UBASH3B PIAS2
UBASH3B EGFR
UBASH3B JAK2
UBASH3B KDM1A
UBASH3B SYK
UBASH3B UBC
UBASH3B HSPA8
UBASH3B SHC1
UBASH3B PRKN
UBASH3B REL
UBASH3B GRB2
UBASH3B CBL
UBASH3B CBLB
UBASH3B ABL1
UBASH3B WASL
UBASH3B SPRY2
UBASH3B RCHY1
UBASH3B AURKB
UBASH3B DAZAP2
UBASH3B RNF41
UBASH3B VPS37B
UBASH3B DOC2A
UBASH3B KIF20A
UBASH3B UBASH3B
UBASH3B UBB
UBASH3B UBA52
UBASH3B RPS27A
UBASH3B PKP4
UBASH3B FAM168A
UBASH3B SLC25A48
UBASH3B DMRT3
UBASH3B PRR35
UBASH3B DTX3
UBASH3B TP53BP2
UBASH3B PSMB1
UBASH3B RNF216
UBASH3B PTPN21
UBASH3B EFS
UBASH3B BBC3
UBASH3B LZTS2
UBASH3B CCDC74B
UBASH3B DISC1
UBASH3B TEPSIN
UBASH3B TNKS
UBASH3B HOXB2
UBASH3B INCA1
UBASH3B TCF4
UBASH3B DLGAP2
UBASH3B KPRP
DAXX MAPK8IP1
MDM2 VEGFA
MDM2 GNAS
MDM2 CLU
MDM2 UBTF
MDM2 FHL2
MDM2 ZNF766
MDM2 DAAM2
VEGFA SP1
VEGFA HIF1A
VEGFA ITGB1
VEGFA CRYAB
VEGFA VTN
VEGFA KDR
VEGFA HSPA4
VEGFA SP3
VEGFA ARNT
VEGFA FN1
VEGFA HNRNPD
VEGFA ELAVL1
VEGFA PTPRB
VEGFA FLT1
VEGFA ADAMTS1
VEGFA PGF
VEGFA VEGFA
VEGFA CCN2
VEGFA NRP1
VEGFA SPARC
VEGFA VEGFB
VEGFA PTPRZ1
VEGFA IGFBP7
VEGFA THBS1
VEGFA ITGA9
VEGFA NRP2
VEGFA TNXB
VEGFA GPC1
VEGFA SEMA3F
VEGFA GJB1
VEGFA SLC35C2
VEGFA TMEM237
VEGFA SLC16A2
GNAS AXIN1
GNAS EGFR
GNAS SMAD2
GNAS RUNX2
GNAS ETS1
GNAS ADRB2
GNAS SOCS2
GNAS LHCGR
GNAS RUVBL1
GNAS OPTN
GNAS SOCS6
GNAS CAV3
GNAS HLA-A
GNAS GNB1
GNAS PTGIR
GNAS MAGED2
GNAS RIC8B
GNAS CRHR1
GNAS GNG2
GNAS PAICS
GNAS RGS2
GNAS SHMT2
GNAS ACAT2
GNAS VIPR1
GNAS PLEKHB1
GNAS ADRB3
GNAS SNX13
GNAS GNGT1
GNAS ADCY6
GNAS LHB
GNAS FSCN1
GNAS TSHR
GNAS NUCB1
GNAS GNAS
GNAS ADCY2
GNAS RIC8A
GNAS AVPR2
