FLNC SGCD
EGFR ATP5F1B
EGFR AREG
EGFR CD82
EGFR NUMBL
EGFR GPM6B
EGFR SELENOP
EGFR CYTH2
EGFR TRIM29
EGFR TBRG4
EGFR SETD4
EGFR MAPK8IP1
EGFR EPHA2
EGFR EFNB1
EGFR SCAMP3
EGFR HEXIM1
EGFR GOT1
EGFR PPP5C
EGFR UBE2V2
EGFR S100A7
EGFR FN1
EGFR H3C11
EGFR COL9A3
EGFR TPI1
EGFR SPCS2
EGFR TJP1
EGFR KRT7
EGFR GABARAPL2
EGFR H2BC10
EGFR FRS2
EGFR BCAR3
EGFR UROD
EGFR HTT
EGFR PLEC
EGFR CD59
EGFR SNX6
EGFR FAH
EGFR XRCC6
EGFR OLFM1
EGFR SH2B3
EGFR TNC
EGFR SPARCL1
EGFR DNAJC4
EGFR EGR1
EGFR BMX
EGFR SH2D1A
EGFR CAMK2A
EGFR MGARP
EGFR CEBPB
EGFR MAPK3
EGFR H2BC4
EGFR AHSA1
EGFR RAP1GDS1
EGFR EZR
EGFR KRT14
EGFR SCAMP1
EGFR PXN
EGFR FKBP8
EGFR RPS27A
EGFR RUSC2
EGFR SNRPD2
EGFR ICAM1
EGFR TLN1
EGFR HSPA1B
EGFR EPPK1
EGFR ITGAV
EGFR CEND1
EGFR UBA52
EGFR PKIA
EGFR H3C12
EGFR EREG
EGFR MEGF6
EGFR KRT6A
EGFR PPP2CA
EGFR H2BC6
EGFR CAMK2G
EGFR EPHB4
EGFR CKAP4
EGFR CASP1
EGFR HNRNPK
EGFR CDCP1
EGFR SORBS2
EGFR H3-4
EGFR PTPRC
EGFR PTGDS
SORBS1 MYC
SORBS1 PTK2
SORBS1 SMAD2
SORBS1 CBL
SORBS1 ABL1
SORBS1 FRS2
SORBS1 SH2B2
SORBS1 ADAM15
SORBS1 PTK2B
SORBS1 MAP4K3
SORBS1 DNM2
SORBS1 PGR
SORBS1 VCL
SORBS1 PXN
SORBS1 PAK2
SORBS1 FLOT1
SORBS1 ACTA1
SORBS1 EFNB1
SORBS1 AFDN
SORBS1 INSR
SORBS1 INSM1
SORBS1 TENM1
SORBS1 EIF6
SORBS1 SEMA6A
SORBS1 RTN4IP1
CSF1R SRC
CSF1R SHC1
CSF1R GRB2
CSF1R CBL
CSF1R GRAP2
CSF1R FYN
CSF1R PIK3R1
CSF1R STAP2
CSF1R KIT
CSF1R PIK3CA
CSF1R LYN
CSF1R SOS1
CSF1R RASA1
CSF1R YES1
CSF1R CSF1R
CSF1R INPP5D
CSF1R PIK3R2
CSF1R CSF1
CSF1R SOCS3
CSF1R THOC5
PLCB1 MAPK1
PLCB1 PLCG1
PLCB1 PRKDC
PLCB1 PRKCD
PLCB1 KRAS
PLCB1 ALB
PLCB1 CTBP2
PLCB1 CTBP1
PLCB1 CLTC
PLCB1 PRKCA
PLCB1 MAPK3
PLCB1 PRKCB
PLCB1 INPP5D
PLCB1 PDCD6IP
PLCB1 SYNJ1
PLCB1 PARD6A
PLCB1 NUMA1
PLCB1 SLC9A3R1
PLCB1 PARD3
PLCB1 PRKCI
PLCB1 PRKCZ
PLCB1 SPTBN1
PLCB1 STAM
PLCB1 PLCG2
PLCB1 PRKCE
PLCB1 RGS4
PLCB1 RGS12
PLCB1 LMNB2
PLCB1 PRKCQ
PLCB1 NDEL1
PLCB1 CEP76
PLCB1 DGKQ
PLCB1 DGKZ
PLCB1 TRPC3
PLCB1 GNAQ
PLCB1 TFCP2
PLCB1 TRPM7
PLCB1 DGKG
PLCB1 PLCB3
PLCB1 PRKCG
PLCB1 CAP2
PLCB1 INPP5B
PLCB1 PLCB2
PLCB1 PLCD1
PLCB1 MT-ND2
PLCB1 PRKCH
PLCB1 MACF1
PLCB1 PLCD3
PLCB1 IPMK
PLCB1 PLCL1
PLCB1 DGKE
PLCB1 INPP5A
PLCB1 INPP5J
PLCB1 DGKB
PLCB1 PLCZ1
PLCB1 DGKH
PLCB1 PLCH2
PLCB1 ITPKB
PLCB1 PLCD4
PLCB1 RRBP1
PLCB1 PLCE1
PLCB1 PLCH1
PLCB1 ISYNA1
PLCB1 DGKI
PLCB1 ITPKA
PLCB1 IMPA1
PLCB1 ITPKC
PLCB1 IMPA2
PLCB1 PLCXD2
PLCB1 PPP1R7
PLCB1 DGKD
PLCB1 INPP5E
PLCB1 DGKA
PLCB1 COG4
PLCB1 PLCB4
ITSN1 MAPK8
ITSN1 AKT1
ITSN1 ITCH
ITSN1 MAPK9
ITSN1 EEF1A1
ITSN1 ARFIP2
ITSN1 CDC42
ITSN1 CBL
ITSN1 WAS
ITSN1 PDE4D
ITSN1 DNM2
ITSN1 SCAMP1
ITSN1 DISC1
ITSN1 STON2
ITSN1 SNAP25
ITSN1 SOS1
ITSN1 AP2B1
ITSN1 EPS15L1
ITSN1 ITSN1
ITSN1 EPS15
ITSN1 SGIP1
ITSN1 DNM1
ITSN1 PHGDH
ITSN1 WIPF3
ITSN1 LMO4
ITSN1 PLK1
ITSN1 MAPK6
ITSN1 SNAP23
ITSN1 MRPL20
ITSN1 WASL
ITSN1 AP2A1
ITSN1 CSNK2B
ITSN1 KIF5A
ITSN1 EEF1A1P5
ITSN1 CLTC
ITSN1 SH3GL2
ITSN1 SMARCC2
ITSN1 TSG101
ITSN1 SMNDC1
ITSN1 ARHGAP31
ITSN1 UBE2K
ITSN1 HRAS
ITSN1 SOS2
ITSN1 RPS6KA5
ITSN1 UNC119
ITSN1 DBH
ITSN1 MAP3K20
ITSN1 TK1
ITSN1 ASB15
ITSN1 MAPK8IP2
ITSN1 SYNJ1
ITSN1 SNX5
ITSN1 PIK3AP1
ITSN1 EPHB2
PLCL1 PLCG1
PLCL1 INPP5D
PLCL1 SYNJ1
PLCL1 PLCG2
PLCL1 DGKQ
PLCL1 DGKZ
PLCL1 DGKI
PLCL1 MAZ
PLCL1 PLCE1
PLCL1 INPP5J
PLCL1 PLCB3
PLCL1 PLCB2
PLCL1 IPMK
PLCL1 IMPA1
PLCL1 IMPA2
PLCL1 ISYNA1
PLCL1 PLCD3
PLCL1 PLCD1
PLCL1 DGKH
PLCL1 INPP5E
PLCL1 ITPKA
PLCL1 ITPKB
PLCL1 DGKA
PLCL1 PLCD4
PLCL1 DGKE
PLCL1 PLCB4
PLCL1 DGKG
PLCL1 INPP5B
PLCL1 PLCZ1
PLCL1 PLCXD2
PLCL1 DGKD
PLCL1 PLCH2
PLCL1 INPP5A
PLCL1 PLCH1
PLCL1 ITPKC
PLCL1 DGKB
TRIM54 PRF1
TRIM54 SH2D1B
TRIM54 ZFHX3
PRF1 CALR
PRF1 DDX24
PRF1 KRT31
PRF1 NOTCH2NLA
PRF1 CYSRT1
PRF1 GZMB
PRF1 STAT4
PRF1 NBPF19
SH2D1B AGR2
SH2D1B ERBB2
SH2D1B BLK
SH2D1B NUTM1
SH2D1B TNK2
SH2D1B HSPA1A
SH2D1B MEOX2
SH2D1B OLIG1
SH2D1B SLAMF1
SH2D1B CD84
SH2D1B LY9
SH2D1B CD244
SH2D1B NFKBID
SH2D1B MAGEB4
ZFHX3 MYB
ZFHX3 JUN
ZFHX3 PIAS3
ZFHX3 TRIM25
ZFHX3 GOLGA2
ZFHX3 POU2F1
ZFHX3 TRIM27
ZFHX3 KRT31
ZFHX3 MTUS2
ZFHX3 USHBP1
ZFHX3 TLE5
ZFHX3 KRT40
ZFHX3 HIVEP1
ZFHX3 CEP70
ZFHX3 PICK1
ZFHX3 BHLHE40
ZFHX3 PRPF40A
ZFHX3 LMNB2
ZFHX3 COPS6
ZFHX3 NINL
ZFHX3 ANPEP
ZFHX3 AFP
ZFHX3 PIBF1
ZFHX3 TTC23
ZFHX3 RBM11
ZFHX3 TRIML2
ZFHX3 KRT34
ZFHX3 EFHC2
ZFHX3 GOLGA6L9
ZFHX3 SPECC1L
ZFHX3 POU6F2
ZFHX3 MSX2
