MAP2K4 BLNK
KHDRBS2 BMP7
KHDRBS2 DALRD3
KHDRBS2 FOXD4L3
HIVEP1 MAPK14
HIVEP1 BANP
HIVEP1 MAPK1
HIVEP1 ATXN1
HIVEP1 QRICH1
HIVEP1 SH3KBP1
HIVEP1 SMAD3
HIVEP1 CREB1
HIVEP1 ATXN1L
HIVEP1 BTRC
HIVEP1 POU2F1
HIVEP1 VCL
HIVEP1 POGZ
HIVEP1 OGT
HIVEP1 BHLHE40
HIVEP1 EMG1
HIVEP1 IFNB1
HIVEP1 APTX
HIVEP1 RAB1A
HIVEP1 SOX10
HIVEP1 NFYC
HIVEP1 ZC3H10
HIVEP1 VEZF1
HIVEP1 CDC37
HIVEP1 OTX1
HIVEP1 RBPMS
HIVEP1 PRR20B
HIVEP1 PRR20A
HIVEP1 PRR20D
HIVEP1 PRR20C
HIVEP1 PRR20E
HIVEP1 NRF1
HIVEP1 ELOA
HIVEP1 CCNK
HIVEP1 HIVEP1
HIVEP1 SP4
HIVEP1 POU6F2
HIVEP1 PLEKHB2
HIVEP1 ZFHX3
HIVEP1 MIEN1
HIVEP1 TENT5B
HIVEP1 IGFN1
HIVEP1 RBM47
HIVEP1 ROR2
HIVEP1 KDF1
HIVEP1 RNF186
HIVEP1 FAM104B
HIVEP2 YWHAG
HIVEP2 YWHAZ
HIVEP2 BTRC
HIVEP2 YWHAE
HIVEP2 WNK1
HIVEP2 RPS6KA1
HIVEP2 RAC3
HIVEP2 RFX1
DEPTOR PSME3
DEPTOR MTOR
DEPTOR BTRC
DEPTOR TRAF1
DEPTOR RICTOR
DEPTOR TNFAIP3
DEPTOR RPTOR
DEPTOR TRIM41
DEPTOR MLST8
DEPTOR CCDC110
DEPTOR ANKRD11
RAPGEF2 MAPK8IP3
RAPGEF2 CTNNB1
RAPGEF2 YWHAZ
RAPGEF2 RALGDS
RAPGEF2 NEDD4
RAPGEF2 ZRANB2
RAPGEF2 RAP1A
RAPGEF2 RAP2B
RAPGEF2 WWOX
RAPGEF2 YAP1
RAPGEF2 BTRC
RAPGEF2 RANBP2
RAPGEF2 HSPA1A
RAPGEF2 PRKCI
RAPGEF2 MTREX
RAPGEF2 RPL26
RAPGEF2 ZNF587
RAPGEF2 PHB2
RAPGEF2 SFPQ
RAPGEF2 PTN
RAPGEF2 ATXN2
RAPGEF2 KIF5A
RAPGEF2 EMSY
RAPGEF2 PRKCQ
RAPGEF2 RPL15
RAPGEF2 KIF5B
RAPGEF2 MOB4
RAPGEF2 RANBP9
RAPGEF2 MAGI2
RAPGEF2 RPS25
RAPGEF2 ST13
RAPGEF2 RAP1GAP
RAPGEF2 EZR
RAPGEF2 USP48
RAPGEF2 LETM1
RAPGEF2 UNC13A
RAPGEF2 FSCN1
RAPGEF2 ANKMY2
RAPGEF2 ZBTB11
RAPGEF2 TTC13
RAPGEF2 RASAL1
RAPGEF2 SQLE
RAPGEF2 MT-ATP8
RAPGEF2 ZNF277
RAPGEF2 SORBS3
RAPGEF2 CPE
RAPGEF2 MYCBP2
RAPGEF2 PDS5A
RAPGEF2 TUBB3
RAPGEF2 SLMAP
RAPGEF2 OBSCN
RAPGEF2 MT-CO1
RAPGEF2 FAM13A
RAPGEF2 XRN2
RAPGEF2 HNRNPDL
RAPGEF2 IL16
REL MAPK8
REL ZBTB16
